,,,Source: Date:  Flexion CI and KMK Primary Market Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treated w/ HA Only,Orthopedic Surgeons,, 23 , 45 , 66 , 87 , 111 , 137 , 168 , 205 , 250 , 305 , 371 , 446 , 532 , 644 , 763 , 887 ," 1,016 "," 1,149 "," 1,285 "," 1,424 "," 1,568 "," 1,716 "," 1,869 "," 2,021 "," 2,176 "," 2,333 "," 2,493 "," 2,654 "," 2,814 "," 2,972 "," 3,125 "," 3,273 "," 3,413 "," 3,545 "," 3,668 "," 3,783 "," 3,884 "," 3,976 "," 4,059 "," 4,134 "," 4,202 "," 4,263 "," 4,318 "," 4,366 "," 4,407 "," 4,442 "," 4,470 "," 4,493 "," 4,510 "," 4,523 "," 4,531 "," 4,536 "," 4,538 "," 4,537 "," 4,535 "," 4,532 "," 4,527 "," 4,522 "," 4,517 "," 4,512 "," 4,507 "," 4,504 "," 4,502 "," 4,500 "," 4,500 "," 4,501 "," 4,503 "," 4,507 "," 4,511 "," 4,517 "," 4,524 "," 4,532 "," 4,541 "
Treated w/ IAS Only,,, 366 , 716 ," 1,057 "," 1,408 "," 1,783 "," 2,207 "," 2,709 "," 3,317 "," 4,061 "," 4,961 "," 6,032 "," 7,277 "," 8,696 "," 10,546 "," 12,511 "," 14,571 "," 16,714 "," 18,927 "," 21,205 "," 23,550 "," 25,970 "," 28,472 "," 31,064 "," 33,637 "," 36,290 "," 38,977 "," 41,719 "," 44,490 "," 47,257 "," 49,991 "," 52,660 "," 55,239 "," 57,703 "," 60,038 "," 62,236 "," 64,291 "," 66,123 "," 67,814 "," 69,343 "," 70,751 "," 72,044 "," 73,223 "," 74,290 "," 75,245 "," 76,092 "," 76,828 "," 77,453 "," 77,981 "," 78,427 "," 78,786 "," 79,070 "," 79,291 "," 79,462 "," 79,593 "," 79,694 "," 79,774 "," 79,838 "," 79,894 "," 79,945 "," 79,997 "," 80,057 "," 80,141 "," 80,242 "," 80,361 "," 80,501 "," 80,662 "," 80,846 "," 81,052 "," 81,282 "," 81,530 "," 81,800 "," 82,093 "," 82,410 "
Treated w/ Both HA & IAS ,,, 55 , 108 , 160 , 212 , 269 , 333 , 409 , 500 , 612 , 748 , 909 ," 1,097 "," 1,310 "," 1,588 "," 1,884 "," 2,194 "," 2,516 "," 2,848 "," 3,190 "," 3,542 "," 3,906 "," 4,281 "," 4,669 "," 5,055 "," 5,453 "," 5,855 "," 6,266 "," 6,680 "," 7,094 "," 7,503 "," 7,902 "," 8,287 "," 8,654 "," 9,003 "," 9,330 "," 9,636 "," 9,908 "," 10,160 "," 10,386 "," 10,595 "," 10,786 "," 10,960 "," 11,117 "," 11,258 "," 11,382 "," 11,490 "," 11,580 "," 11,657 "," 11,721 "," 11,772 "," 11,812 "," 11,842 "," 11,865 "," 11,882 "," 11,894 "," 11,904 "," 11,911 "," 11,916 "," 11,921 "," 11,926 "," 11,933 "," 11,943 "," 11,955 "," 11,970 "," 11,988 "," 12,010 "," 12,035 "," 12,063 "," 12,094 "," 12,128 "," 12,166 "," 12,207 "," 12,251 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treated w/ HA Only,Rheumatologists,, 2 , 3 , 5 , 7 , 8 , 10 , 13 , 16 , 19 , 23 , 28 , 34 , 41 , 49 , 58 , 68 , 78 , 88 , 98 , 109 , 120 , 131 , 143 , 154 , 166 , 178 , 191 , 203 , 215 , 227 , 239 , 250 , 261 , 271 , 280 , 289 , 297 , 304 , 310 , 316 , 321 , 326 , 330 , 334 , 337 , 340 , 342 , 343 , 345 , 346 , 346 , 347 , 347 , 347 , 347 , 346 , 346 , 346 , 345 , 345 , 345 , 344 , 344 , 344 , 344 , 344 , 344 , 344 , 345 , 345 , 346 , 346 , 347 
Treated w/ IAS Only,,, 23 , 45 , 67 , 89 , 113 , 140 , 172 , 210 , 257 , 314 , 382 , 461 , 551 , 668 , 793 , 923 ," 1,059 "," 1,199 "," 1,343 "," 1,492 "," 1,645 "," 1,804 "," 1,968 "," 2,131 "," 2,299 "," 2,469 "," 2,643 "," 2,819 "," 2,994 "," 3,167 "," 3,336 "," 3,500 "," 3,656 "," 3,804 "," 3,943 "," 4,073 "," 4,189 "," 4,296 "," 4,393 "," 4,482 "," 4,564 "," 4,639 "," 4,706 "," 4,767 "," 4,821 "," 4,867 "," 4,907 "," 4,940 "," 4,969 "," 4,991 "," 5,009 "," 5,023 "," 5,034 "," 5,042 "," 5,049 "," 5,054 "," 5,058 "," 5,062 "," 5,065 "," 5,068 "," 5,072 "," 5,077 "," 5,084 "," 5,091 "," 5,100 "," 5,110 "," 5,122 "," 5,135 "," 5,149 "," 5,165 "," 5,182 "," 5,201 "," 5,221 "
Treated w/ Both HA & IAS ,,, 4 , 7 , 11 , 14 , 18 , 23 , 28 , 34 , 42 , 51 , 62 , 75 , 89 , 108 , 128 , 149 , 171 , 194 , 217 , 241 , 266 , 291 , 317 , 344 , 371 , 398 , 426 , 454 , 482 , 510 , 537 , 563 , 588 , 612 , 634 , 655 , 674 , 691 , 706 , 720 , 733 , 745 , 756 , 765 , 774 , 781 , 787 , 793 , 797 , 800 , 803 , 805 , 807 , 808 , 809 , 809 , 810 , 810 , 811 , 811 , 811 , 812 , 813 , 814 , 815 , 817 , 818 , 820 , 822 , 825 , 827 , 830 , 833 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treated w/ HA Only,PCPs / Others ,, 8 , 16 , 24 , 33 , 42 , 53 , 66 , 83 , 104 , 130 , 161 , 198 , 240 , 293 , 350 , 410 , 472 , 537 , 603 , 671 , 742 , 814 , 890 , 967 ," 1,046 "," 1,126 "," 1,208 "," 1,291 "," 1,374 "," 1,455 "," 1,536 "," 1,614 "," 1,689 "," 1,761 "," 1,830 "," 1,895 "," 1,957 "," 2,014 "," 2,068 "," 2,119 "," 2,167 "," 2,211 "," 2,253 "," 2,291 "," 2,327 "," 2,360 "," 2,389 "," 2,417 "," 2,442 "," 2,464 "," 2,485 "," 2,504 "," 2,521 "," 2,537 "," 2,552 "," 2,566 "," 2,578 "," 2,590 "," 2,601 "," 2,611 "," 2,621 "," 2,630 "," 2,639 "," 2,649 "," 2,658 "," 2,667 "," 2,676 "," 2,685 "," 2,694 "," 2,703 "," 2,713 "," 2,722 "," 2,732 "
Treated w/ IAS Only,,, 73 , 142 , 211 , 284 , 364 , 459 , 577 , 725 , 911 ," 1,142 "," 1,420 "," 1,748 "," 2,124 "," 2,598 "," 3,106 "," 3,642 "," 4,202 "," 4,783 "," 5,383 "," 6,003 "," 6,644 "," 7,309 "," 8,000 "," 8,705 "," 9,433 "," 10,177 "," 10,938 "," 11,707 "," 12,478 "," 13,244 "," 13,998 "," 14,734 "," 15,447 "," 16,135 "," 16,796 "," 17,428 "," 18,022 "," 18,586 "," 19,119 "," 19,623 "," 20,100 "," 20,549 "," 20,971 "," 21,366 "," 21,736 "," 22,080 "," 22,398 "," 22,694 "," 22,969 "," 23,224 "," 23,460 "," 23,680 "," 23,886 "," 24,080 "," 24,262 "," 24,434 "," 24,598 "," 24,753 "," 24,901 "," 25,044 "," 25,182 "," 25,318 "," 25,452 "," 25,586 "," 25,719 "," 25,853 "," 25,988 "," 26,123 "," 26,261 "," 26,398 "," 26,537 "," 26,678 "," 26,821 "
Treated w/ Both HA & IAS ,,, 9 , 17 , 25 , 34 , 43 , 54 , 68 , 86 , 108 , 135 , 168 , 207 , 251 , 307 , 367 , 430 , 496 , 565 , 635 , 708 , 784 , 862 , 943 ," 1,026 "," 1,112 "," 1,199 "," 1,289 "," 1,379 "," 1,469 "," 1,559 "," 1,648 "," 1,734 "," 1,817 "," 1,898 "," 1,975 "," 2,049 "," 2,119 "," 2,184 "," 2,246 "," 2,305 "," 2,361 "," 2,413 "," 2,462 "," 2,508 "," 2,551 "," 2,590 "," 2,627 "," 2,661 "," 2,693 "," 2,722 "," 2,749 "," 2,774 "," 2,798 "," 2,820 "," 2,841 "," 2,860 "," 2,879 "," 2,896 "," 2,913 "," 2,929 "," 2,944 "," 2,960 "," 2,975 "," 2,990 "," 3,005 "," 3,020 "," 3,035 "," 3,050 "," 3,065 "," 3,081 "," 3,096 "," 3,112 "," 3,128 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL Zilretta Treatments by Month,,, 562 ," 1,100 "," 1,625 "," 2,168 "," 2,752 "," 3,416 "," 4,208 "," 5,175 "," 6,364 "," 7,810 "," 9,534 "," 11,542 "," 13,835 "," 16,802 "," 19,960 "," 23,275 "," 26,725 "," 30,289 "," 33,960 "," 37,741 "," 41,644 "," 45,682 "," 49,864 "," 54,041 "," 58,345 "," 62,715 "," 67,172 "," 71,677 "," 76,179 "," 80,629 "," 84,981 "," 89,193 "," 93,228 "," 97,066 "," 100,692 "," 104,099 "," 107,172 "," 110,025 "," 112,631 "," 115,046 "," 117,277 "," 119,329 "," 121,203 "," 122,901 "," 124,426 "," 125,777 "," 126,955 "," 127,980 "," 128,872 "," 129,628 "," 130,266 "," 130,804 "," 131,259 "," 131,647 "," 131,983 "," 132,279 "," 132,544 "," 132,789 "," 133,020 "," 133,243 "," 133,472 "," 133,728 "," 134,006 "," 134,305 "," 134,631 "," 134,984 "," 135,366 "," 135,779 "," 136,224 "," 136,693 "," 137,191 "," 137,721 "," 138,285 "
